"numéro de dossier","nom dossier","chambre","état de l'instruction","requérant(s)","mandataire(s) requérant(s)","défendeur(s)","mandataire(s) défendeur(s)","date évènement","mesure évènement","acteur évènement","qualité évènement","délais évènement"
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-05-30","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-06-19","Communication de la requête","Monsieur BLOCHE Patrick","Défendeur","1 m"
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-09-26","Réception d'une lettre","CABINET ARCO-LEGAL (SELAS)","Avocat",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-09-26","Réception d'un mémoire en défense","CABINET ARCO-LEGAL (SELAS)","Avocat",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-09-27","Réception de pièces complémentaires","CABINET ARCO-LEGAL (SELAS)","Avocat",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-09-28","Communication d'un mémoire en défense","ASSOCIATION REGARDS CITOYENS","Requérant","1 m"
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-09-28","Ordonnance de clôture d'instruction au 15/10/2018","","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-09-28","Notification d'ordonnance d'instruction","","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","Notification d'ordonnance d'instruction","ASSOCIATION REGARDS CITOYENS","Requérant","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","Notification d'ordonnance d'instruction","CABINET ARCO-LEGAL (SELAS)","Avocat","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-10-01","Communication de pièces complémentaires","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-10-10","Réception d'un mémoire","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-10-22","Mise au rôle","","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","2018-10-22","Avis d'audience","","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","Avis d'audience","ASSOCIATION REGARDS CITOYENS","Requérant","",""
"1808481","ASSOCIATION REGARDS CITOYENS / Monsieur BLOCHE Patrick","5e Section - 1re Chambre","Inscrit au rôle d'une audience","ASSOCIATION REGARDS CITOYENS","","Monsieur BLOCHE Patrick","CABINET ARCO-LEGAL (SELAS)","Avis d'audience","CABINET ARCO-LEGAL (SELAS)","Avocat","",""
"1808790","ASSOCIATION REGARDS CITOYENS / Monsieur ABAD Damien","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ABAD Damien","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808790","ASSOCIATION REGARDS CITOYENS / Monsieur ABAD Damien","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ABAD Damien","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808792","ASSOCIATION REGARDS CITOYENS / Madame ABEILLE laurence","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ABEILLE laurence","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808792","ASSOCIATION REGARDS CITOYENS / Madame ABEILLE laurence","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ABEILLE laurence","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808795","ASSOCIATION REGARDS CITOYENS / Monsieur ABOUD Elie","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ABOUD Elie","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808795","ASSOCIATION REGARDS CITOYENS / Monsieur ABOUD Elie","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ABOUD Elie","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808798","ASSOCIATION REGARDS CITOYENS / Monsieur ACCOYER Bernard","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ACCOYER Bernard","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808798","ASSOCIATION REGARDS CITOYENS / Monsieur ACCOYER Bernard","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ACCOYER Bernard","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808801","ASSOCIATION REGARDS CITOYENS / Madame ADAM Patricia","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ADAM Patricia","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808801","ASSOCIATION REGARDS CITOYENS / Madame ADAM Patricia","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ADAM Patricia","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808803","ASSOCIATION REGARDS CITOYENS / Madame ALAUX Sylviane","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ALAUX Sylviane","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808803","ASSOCIATION REGARDS CITOYENS / Madame ALAUX Sylviane","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Madame ALAUX Sylviane","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808805","ASSOCIATION REGARDS CITOYENS / Monsieur ALAUZET Eric","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ALAUZET Eric","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808805","ASSOCIATION REGARDS CITOYENS / Monsieur ALAUZET Eric","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ALAUZET Eric","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808807","ASSOCIATION REGARDS CITOYENS / Monsieur ALBARELLO Yves","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ALBARELLO Yves","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808807","ASSOCIATION REGARDS CITOYENS / Monsieur ALBARELLO Yves","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ALBARELLO Yves","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808810","ASSOCIATION REGARDS CITOYENS / Monsieur ALLOSSERY Jean-Pierre","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ALLOSSERY Jean-Pierre","","2018-05-14","Requête nouvelle","ASSOCIATION REGARDS CITOYENS","Requérant",""
"1808810","ASSOCIATION REGARDS CITOYENS / Monsieur ALLOSSERY Jean-Pierre","5e Section - 1re Chambre","En cours d'instruction","ASSOCIATION REGARDS CITOYENS","","Monsieur ALLOSSERY Jean-Pierre","","2018-06-04","Accusé de réception de la requête","ASSOCIATION REGARDS CITOYENS","Requérant",""
